,address,listingby,price,beds,baths,sqft,building_type
650,"637 Powell St APT 102, San Francisco, CA 94108","COMPASS, Carey Clarke Nassano-Miller","$1,285,000",3 bds,2 ba,-- sqft,- Condo for sale
651,"818 Van Ness Ave APT 802, San Francisco, CA 94109","VANGUARD PROPERTIES, Judson R. Cassels","$1,349,000",2 bds,2 ba,"1,128 sqft",- Condo for sale
652,"6 Mint Plz APT 303A, San Francisco, CA 94103","COMPASS SF, Jessie Lee","$875,000",2 bds,1 ba,-- sqft,- Condo for sale
653,"699 36th Ave APT 301, San Francisco, CA 94121","COMPASS, Zehra Ammar Ashary","$1,595,000",3 bds,3 ba,"1,935 sqft",- Condo for sale
654,"1483 Sutter St UNIT 1001, San Francisco, CA 94109","RECIP. LISTING (MLS ONLY), Non -. Member","$1,188,000",1 bd,-- ba,"1,050 sqft",- Condo for sale
655,"1800 Washington St APT 219, San Francisco, CA 94109","KELLER WILLIAMS SAN FRANCISCO, Miyuki Mia Takami","$1,299,000",2 bds,2 ba,"1,042 sqft",- Condo for sale
656,"2125 Bryant St APT 316, San Francisco, CA 94110","VANGUARD PROPERTIES, Andrea F. Swetland","$1,798,000",3 bds,4 ba,"1,702 sqft",- Condo for sale
657,"3122 23rd St, San Francisco, CA 94110","CORCORAN GLOBAL LIVING, Daniel R. Fernandez","$1,995,000",3 bds,3 ba,-- sqft,- Condo for sale
658,"1238 Sutter St UNIT 801, San Francisco, CA 94109",NaN,"$775,000",1 bd,1 ba,-- sqft,- Condo for sale
659,"2922 Franklin St, San Francisco, CA 94123","COMPASS, Amanda M. Jones","$3,800,000",3 bds,3 ba,"2,735 sqft",- New construction
660,"195 7th St APT 309, San Francisco, CA 94103","COMPASS SF, Jessie Lee","$399,000",Studio,1 ba,307 sqft,- Condo for sale
661,"3131 Pierce St #301, San Francisco, CA 94123","VANGUARD PROPERTIES, Edward R. Deleski","$1,649,000",2 bds,2 ba,-- sqft,- New construction
662,"246 Carl St #248, San Francisco, CA 94117","INDIGO REAL ESTATE, Mollie W. Poe","$8,444,000",6 bds,-- ba,-- sqft,- Multi-family home for sale
663,"999 Green St APT 1104, San Francisco, CA 94133","COMPASS, Gillian Toboni","$1,849,000",2 bds,2 ba,"1,681 sqft",- Condo for sale
664,"2829 25th St #4, San Francisco, CA 94110","COMPASS, Jason H. Hoffman","$2,495,000",3 bds,4 ba,"1,975 sqft",- Condo for sale
665,"280 Spear St #25F, San Francisco, CA 94105","KELLER WILLIAMS SAN FRANCISCO, Miyuki Mia Takami","$1,599,999",1 bd,1 ba,-- sqft,- New construction
666,"325 Castro St #375, San Francisco, CA 94114","VANGUARD PROPERTIES, Matthew Tatsumi Gomez","$2,600,000",-- bds,-- ba,"3,300 sqft",- Multi-family home for sale
667,"201 Harrison St APT 122, San Francisco, CA 94105",NaN,"$459,000",Studio,1 ba,347 sqft,- Condo for sale
668,"601 Van Ness Ave APT 1045, San Francisco, CA 94102","PARK NORTH REAL ESTATE, Lauren A. Schultze","$799,000",2 bds,2 ba,894 sqft,- Condo for sale
669,"858 Capp St #2, San Francisco, CA 94110","VANGUARD PROPERTIES, Frank A. Nolan","$1,199,000",2 bds,2 ba,"1,015 sqft",- New construction
670,"1875 Mission St APT 106, San Francisco, CA 94103","COMPASS, Jason H. Hoffman","$675,000",1 bd,1 ba,618 sqft,- New construction
671,"631 Ofarrell St APT 1210, San Francisco, CA 94109","VANGUARD PROPERTIES, Thomas Cacciotti","$479,000",Studio,1 ba,-- sqft,- Condo for sale
672,"8 Octavia St UNIT 608, San Francisco, CA 94102","COMPASS, Morton Mah","$1,295,000",2 bds,2 ba,"1,001 sqft",- Condo for sale
673,"223 Fair Oaks St #227, San Francisco, CA 94110","CORCORAN GLOBAL LIVING, Stefano Dezerega","$4,195,000",5 bds,6 ba,"4,000 sqft",- Multi-family home for sale
674,"7 Juri St, San Francisco, CA 94110",NaN,"$2,295,000",3 bds,2 ba,"1,577 sqft",- House for sale
675,"945 Green St #7, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, Steven M. Gothelf","$8,950,000",3 bds,4 ba,"4,000 sqft",- Condo for sale
676,"1268 Dolores St, San Francisco, CA 94110",NaN,"$1,389,000",2 bds,2 ba,"1,267 sqft",- Condo for sale
677,"971 Le Conte Ave, San Francisco, CA 94124","CENTURY 21 REALTY ALLIANCE, Ying He","$914,000",2 bds,1 ba,841 sqft,- House for sale
678,"75 Howard St #409, San Francisco, CA 94105","Paramount Group, Inc. and SRE Group Ltd., POLARIS PACIFIC, Kristin  Evans","$1,250,000",1 bd,1 ba,880 sqft,- New construction
679,"718 Long Bridge St APT 218, San Francisco, CA 94158","COLDWELL BANKER REALTY, Leslie Bauer","$2,555,000",3 bds,3 ba,"1,893 sqft",- Condo for sale
680,"1510 Newcomb Ave, San Francisco, CA 94124",NaN,"$1,129,000",5 bds,2 ba,"2,077 sqft",- House for sale
681,"3159-3163 24th St, San Francisco, CA 94110",NaN,"$2,698,000",7 bds,3 ba,"5,040 sqft",- House for sale
682,"1688 Pine St #WPH01, San Francisco, CA 94109","COMPASS, Carter Waite","$2,499,000",2 bds,3 ba,"1,427 sqft",- New construction
683,"2256 19th Ave, San Francisco, CA 94116","BERKSHIRE HATHAWAY DRYSDALE PR, Lanting Chen","$2,690,000",8 bds,5 ba,"4,295 sqft",- Multi-family home for sale
684,"1298 Treat Ave, San Francisco, CA 94110","COMPASS, Rachel E. Swann","$1,295,000",3 bds,2 ba,"1,250 sqft",- Condo for sale
685,"8100 Oceanview Ter APT 224, San Francisco, CA 94132",NaN,"$835,000",2 bds,2 ba,950 sqft,- Condo for sale
686,"254 Roosevelt Way, San Francisco, CA 94114","VANGUARD PROPERTIES, Jack A. Burrows","$2,495,000",5 bds,1 ba,"2,500 sqft",- House for sale
687,"51 Innes Ct. #312 Plan, The San Francisco Shipyard : Monarch",Lennar,"$965,000+",2 bds,2 ba,"1,080 sqft",- New construction
688,"488 Folsom St #4003, San Francisco, CA 94105","RELATED CA RES. SALES, INC., Derec Lacio","$1,630,000",1 bd,2 ba,921 sqft,- New construction
689,"100 College Ave #104, San Francisco, CA 94112","MOSAIK REAL ESTATE, Christian V. Nguyen","$2,950,000",9 bds,3 ba,"5,472 sqft",- Multi-family home for sale
690,"3460 22nd St, San Francisco, CA 94110","ENGEL & VOELKERS SAN FRANCISCO, Michelle K. Pender","$2,345,000",4 bds,-- ba,"2,260 sqft",- Multi-family home for sale
691,"140 S Van Ness Ave UNIT 1029, San Francisco, CA 94103","COLDWELL BANKER REALTY, Lota de Castro","$899,000",2 bds,2 ba,"1,153 sqft",- Condo for sale
692,"Plan B Plan, Lofton at Portola",Tri Pointe Homes,"$1,450,000+",3 bds,4 ba,"1,789 sqft",- New construction
693,"135 Red Rock Way APT 107L, San Francisco, CA 94131","Ring Bros., PARK NORTH REAL ESTATE, Charles W. Mader","$609,000",Studio,1 ba,592 sqft,- Condo for sale
694,"10 Reno Pl, San Francisco, CA 94133","COMPASS, Victoria A. Clemons","$6,995,000",7 bds,8 ba,-- sqft,- Multi-family home for sale
695,"1655 Dolores St, San Francisco, CA 94110","PETER FATOOH REALTY, Peter J. Fatooh","$3,195,000",5 bds,4 ba,"3,430 sqft",- House for sale
696,"480 Mission Bay Blvd #313, San Francisco, CA 94158","COMPASS, Dianne M. Hartnett","$1,599,000",2 bds,2 ba,"1,220 sqft",- New construction
697,"355 1st St UNIT S2103, San Francisco, CA 94105","SKYBOX REALTY, Ksenia Jury","$949,000",1 bd,1 ba,722 sqft,- Condo for sale
698,"45 Bartlett St UNIT 805, San Francisco, CA 94110","COMPASS, Houda Tanverakul","$1,195,000",2 bds,2 ba,916 sqft,- New construction
699,"200 Brannan St APT 232, San Francisco, CA 94107",NaN,"$3,100,000",3 bds,3 ba,"2,391 sqft",- Condo for sale
700,"725 Pine St APT 206, San Francisco, CA 94108","SOTHEBY'S INTERNATIONAL REALTY, Debi Green","$495,000",Studio,1 ba,353 sqft,- Condo for sale
701,"1875 Mission St APT 109, San Francisco, CA 94103","COMPASS, George W. Langford","$1,200,000",2 bds,2 ba,"1,272 sqft",- Condo for sale
702,"400 Bristol Ct #323, San Francisco, CA 94130","Wilson Meany/Cahill, THE AGENCY, Thomas M. Gasbarre","$1,152,000",1 bd,1 ba,965 sqft,- New construction
703,"53-55 Pomona St, San Francisco, CA 94124","COMPASS, Marina Shiferman","$1,459,000",5 bds,3 ba,"2,763 sqft",- Multi-family home for sale
704,"290 Meadow Dr #2, San Francisco, CA 94130","Wilson Meany/ Plant Construction, THE AGENCY, Thomas M. Gasbarre","$3,946,000",3 bds,4 ba,"2,510 sqft",- New construction
705,"280 Spear St #10A, San Francisco, CA 94105","Tishman Speyer, POLARIS PACIFIC, Garrett R. Frakes","$1,649,000",2 bds,2 ba,"1,453 sqft",- New construction
706,"276 9th Ave, San Francisco, CA 94118",NaN,"$2,195,000",6 bds,3 ba,"3,878 sqft",- Multi-family home for sale
707,"1177 California St APT 503, San Francisco, CA 94108","COMPASS, Georgina McInerney","$529,000",Studio,1 ba,411 sqft,- Condo for sale
708,"50 Lansing St UNIT 101, San Francisco, CA 94105","AFI REAL ESTATE, Afsaneh Valizadeh","$899,500",1 bd,1 ba,850 sqft,- Condo for sale
709,"333 Main St UNIT 9B, San Francisco, CA 94105","COMPASS, Robyn L. Kaufman","$2,199,000",3 bds,3 ba,"1,462 sqft",- Condo for sale
710,"930 Pine St APT 301, San Francisco, CA 94108","COLDWELL BANKER REALTY, Karen C. Dell'Isola","$790,000",1 bd,1 ba,-- sqft,- Condo for sale
711,"2111 Hyde St #301, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Gregg Lynn","$1,995,000",2 bds,2 ba,"1,820 sqft",- Condo for sale
712,"1616 Judah St #1618, San Francisco, CA 94122","SOTHEBY'S INTERNATIONAL REALTY, Dee Saroni","$1,295,000",2 bds,2 ba,"1,890 sqft",- Multi-family home for sale
713,"1282 Hayes St #401, San Francisco, CA 94117","VANGUARD PROPERTIES, Michael R. Keane-Stack","$2,395,000",3 bds,3 ba,-- sqft,- Condo for sale
714,"140 S Van Ness Ave UNIT 529, San Francisco, CA 94103","KELLER WILLIAMS SF MONTEREY, Karen Wong-Dunlap","$899,000",2 bds,2 ba,"1,160 sqft",- Condo for sale
715,"3250 Judah St, San Francisco, CA 94122",NaN,"$1,599,000",2 bds,2 ba,"3,029 sqft",- House for sale
716,"229-233 Whitney St, San Francisco, CA 94131",NaN,"$1,695,000",-- bds,-- ba,"2,505 sqft",- Multi-family home for sale
717,"1747 Dolores St #1749, San Francisco, CA 94110","POLARIS REALTY, Ron Abta","$3,144,000",5 bds,6 ba,"3,155 sqft",- Condo for sale
718,"1001 Pine St UNIT 708, San Francisco, CA 94109","COMPASS, Kevin Wakelin","$549,000",Studio,1 ba,454 sqft,- Condo for sale
719,"854 Capp St UNIT 1, San Francisco, CA 94110","VANGUARD PROPERTIES, Rita V. Schmid","$2,199,000",3 bds,3 ba,-- sqft,- Condo for sale
720,"236 Shipley St #304, San Francisco, CA 94107",NaN,"$998,000",2 bds,2 ba,825 sqft,- Condo for sale
721,"229 Brannan St, San Francisco, CA 94107","COMPASS, Jason H. Hoffman","$3,995,000",4 bds,3 ba,"2,612 sqft",- New construction
722,"280 Spear St #1B, San Francisco, CA 94105","Tishman Speyer, POLARIS PACIFIC, Garrett R. Frakes","$1,200,000",2 bds,1 ba,953 sqft,- New construction
723,"832 Florida St, San Francisco, CA 94110",NaN,"$1,299,000",4 bds,2 ba,"1,920 sqft",- House for sale
724,"250 King St UNIT 634, San Francisco, CA 94107","Beacon, ENGEL & VOELKERS SAN FRANCISCO, Masoumeh M. Pahlbod","$735,000",1 bd,1 ba,760 sqft,- Condo for sale
725,"445 Francisco St #601F, San Francisco, CA 94133","COMPASS, Pamela R. Culp","$2,198,000",2 bds,2 ba,"1,311 sqft",- Condo for sale
726,"3535 Wawona St #515, San Francisco, CA 94116",NaN,"$1,334,000",2 bds,2 ba,991 sqft,- Condo for sale
727,"5800 3rd St UNIT 1211, San Francisco, CA 94124",NaN,"$680,000",1 bd,1 ba,817 sqft,- Condo for sale
728,"3620 Cesar Chavez St #303, San Francisco, CA 94110","VANGUARD PROPERTIES, Massimo F. Loporto","$1,199,000",2 bds,2 ba,"1,038 sqft",- New construction
729,"74 New Montgomery St UNIT 509, San Francisco, CA 94105","COMPASS, Ron Salter","$615,000",Studio,1 ba,486 sqft,- Condo for sale
730,"690 Market St #201, San Francisco, CA 94104","COMPASS, Robyn L. Kaufman","$985,000",1 bd,2 ba,"1,290 sqft",- Condo for sale
731,"555 Golden Gate Ave #5A, San Francisco, CA 94102","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$729,000",1 bd,1 ba,568 sqft,- New construction
732,"388 Fulton St #405, San Francisco, CA 94102",NaN,"$898,000",2 bds,1 ba,720 sqft,- Condo for sale
733,"208 Dorland St #210, San Francisco, CA 94114","COMPASS, Todd Wiley","$4,500,000",7 bds,4 ba,"2,800 sqft",- Multi-family home for sale
734,"72 Townsend St UNIT 504, San Francisco, CA 94107","SOTHEBY'S INTERNATIONAL REALTY, Lauren J. Fraser","$1,495,000",2 bds,2 ba,"1,260 sqft",- Condo for sale
735,"601 Van Ness Ave APT 944, San Francisco, CA 94102","SOTHEBY'S INTERNATIONAL REALTY, Robert E. Merryman","$668,000",1 bd,1 ba,894 sqft,- Condo for sale
736,"917 Bryant St, San Francisco, CA 94103","ARTEMIS REAL ESTATE, Payton R. Stiewe","$3,488,000",2 bds,2 ba,"3,550 sqft",- House for sale
737,"555 4th St UNIT 447, San Francisco, CA 94107","COMPASS SF, Jessie Lee","$599,000",Studio,1 ba,454 sqft,- Condo for sale
738,"72 Townsend St UNIT 702, San Francisco, CA 94107","KB Home, COLDWELL BANKER REALTY, Christopher Lim","$1,599,000",2 bds,2 ba,-- sqft,- New construction
739,"201 Folsom St APT 6H, San Francisco, CA 94105",NaN,"$1,098,000",1 bd,1 ba,851 sqft,- Condo for sale
740,"195 7th St APT 402, San Francisco, CA 94103","JSL REALTY, INC., Zev Y. Newman","$399,000",Studio,1 ba,-- sqft,- Condo for sale
741,"195 7th St APT 407, San Francisco, CA 94103","COMPASS, Francis E. Somsel","$378,000",Studio,1 ba,298 sqft,- Condo for sale
742,"1776 Sacramento St APT 305, San Francisco, CA 94109","BERRI REAL ESTATE, Dennis Sanchez","$1,095,000",2 bds,2 ba,"1,091 sqft",- Condo for sale
743,"(undisclosed Address), San Francisco, CA 94124","BETTER HOMES AND GARDENS THRIV, Eve J. Combs-Cofer","$635,000",2 bds,2 ba,790 sqft,- Condo for sale
744,"601 Van Ness Ave APT 802, San Francisco, CA 94102",NaN,"$625,000",1 bd,1 ba,676 sqft,- Condo for sale
745,"751 Taraval St #755, San Francisco, CA 94116","BARBCO, Paul Barbagelata","$2,495,000",5 bds,1 ba,"5,627 sqft",- Multi-family home for sale
746,"1875 Mission St APT 410, San Francisco, CA 94103","VANGUARD PROPERTIES, Malin P. Kansal","$980,000",1 bd,1 ba,794 sqft,- Condo for sale
747,"855 Folsom St APT 519, San Francisco, CA 94107","SOTHEBY'S INTERNATIONAL REALTY, Gael Bruno","$1,595,000",2 bds,2 ba,"1,396 sqft",- Condo for sale
748,"1438 Green St, San Francisco, CA 94109",NaN,"$2,300,000",3 bds,3 ba,"1,738 sqft",- Condo for sale
749,"140 S Van Ness Ave UNIT 405, San Francisco, CA 94103",NaN,"$750,000",1 bd,2 ba,830 sqft,- Condo for sale
750,"325 Wayland St, San Francisco, CA 94134","KC STRATEGY INC., James K. Pan","$1,799,000",5 bds,4 ba,"3,765 sqft",- House for sale
751,"451 Kansas St UNIT 389, San Francisco, CA 94107",NaN,"$615,000",Studio,1 ba,495 sqft,- Condo for sale
752,"52 Innes Ct UNIT 103, San Francisco, CA 94124",NaN,"$879,000",2 bds,2 ba,"1,185 sqft",- Condo for sale
753,"718 Long Bridge St APT 1605, San Francisco, CA 94158","Malin Kansal, VANGUARD PROPERTIES, Malin P. Kansal","$2,550,008",2 bds,2 ba,"1,569 sqft",- Condo for sale
754,"148 Fillmore St #152, San Francisco, CA 94117","URBAN GROUP REAL ESTATE, Louis Cornejo","$2,995,000",7 bds,3 ba,"3,801 sqft",- Multi-family home for sale
755,"1160 Mission St UNIT 803, San Francisco, CA 94103","COMPASS, Crystal C. Injo","$748,000",1 bd,1 ba,755 sqft,- Condo for sale
756,"5853 Mission St APT 4, San Francisco, CA 94112","EXP REALTY OF CALIFORNIA, INC, Allen K. Ho","$668,000",2 bds,1 ba,805 sqft,- Condo for sale
757,"232 Minerva St, San Francisco, CA 94112",NaN,"$1,299,000",5 bds,3 ba,"2,661 sqft",- House for sale
758,"201 Folsom St #41B, San Francisco, CA 94105","ENGEL & VOELKERS SAN FRANCISCO, Masoumeh M. Pahlbod","$6,800,000",4 bds,4 ba,"5,223 sqft",- Condo for sale
759,"1070 Green St APT 801, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, Daniel J. DerVartanian","$2,450,000",2 bds,2 ba,"1,616 sqft",- Condo for sale
760,"2855 Folsom St #A, San Francisco, CA 94110","VANGUARD PROPERTIES, Jonathan B. Deason","$2,995,000",3 bds,3 ba,"2,290 sqft",- Condo for sale
761,"1046 Sanchez St, San Francisco, CA 94114",NaN,"$1,795,000",3 bds,1 ba,"1,443 sqft",- Condo for sale
762,"280 Spear St #1F, San Francisco, CA 94105","Tishman Speyer, POLARIS PACIFIC, Garrett R. Frakes","$1,100,000",2 bds,1 ba,823 sqft,- New construction
763,"Type 02 Plan, Serif",L37 Partners,"$583,250+",-- bds,1 ba,467 sqft,- New construction
764,"1360 Montgomery St, San Francisco, CA 94133",NaN,"$7,995,000",4 bds,4 ba,"2,618 sqft",- Condo for sale
765,"974 Geneva Ave #3, San Francisco, CA 94112","VANGUARD PROPERTIES, Janine Hunn","$1,385,000",4 bds,4 ba,"1,397 sqft",- New construction
766,"420 Mission Bay Blvd #104, San Francisco, CA 94158","Madrone, COMPASS, Trevor P. Leung","$1,838,000",2 bds,3 ba,"1,635 sqft",- Condo for sale
767,"210 29th St, San Francisco, CA 94131","COMPASS, Natalie Rome","$2,150,000",5 bds,2 ba,"3,130 sqft",- Multi-family home for sale
768,"435 Powell St #441, San Francisco, CA 94102","JEREMY FALK BLATTEIS, BROKER, Jeremy Blatteis","$20,000,000",1 bd,-- ba,"26,152 sqft",- Multi-family home for sale
769,"401 Harrison St APT 30B, San Francisco, CA 94105","COMPASS, Joseph C. Silva Gonsalves","$1,999,000",2 bds,2 ba,"1,311 sqft",- Condo for sale
770,"Type 17 Plan, Serif",L37 Partners,"$703,250+",-- bds,1 ba,503 sqft,- New construction
771,"11 Franklin St UNIT 802, San Francisco, CA 94102","THE CANLAS BROTHERS, Neil  Canlas","$1,275,000",2 bds,2 ba,979 sqft,- Condo for sale
772,"1000 3rd St UNIT 1506, San Francisco, CA 94158","COMPASS, Robyn L. Kaufman","$1,699,000",2 bds,2 ba,"1,267 sqft",- Condo for sale
773,"1075 Market St UNIT 413, San Francisco, CA 94103","VANGUARD PROPERTIES, Abigail R. Picache","$949,000",2 bds,2 ba,844 sqft,- New construction
774,"301 Mission St APT 3D, San Francisco, CA 94105","Handel Architects, COMPASS SF, Jonathan Ng","$899,000",1 bd,1 ba,789 sqft,- Condo for sale
775,"5900 3rd St UNIT 2424, San Francisco, CA 94124","KELLER WILLIAMS SAN FRANCISCO, Michael  Minson","$639,000",1 bd,1 ba,775 sqft,- Condo for sale
776,"201 Harrison St APT 401, San Francisco, CA 94105","CITILAND INVESTMENT CORP., Kathy Turnquist","$589,000",Studio,1 ba,432 sqft,- Condo for sale
777,"1490 Ocean Ave APT 403, San Francisco, CA 94112",NaN,"$1,499,000",3 bds,2 ba,"1,258 sqft",- Condo for sale
778,"2448 Lombard St PENTHOUSE 4, San Francisco, CA 94123","JS Sullivan Development, JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$2,598,000",3 bds,3 ba,-- sqft,- New construction
779,"601 Van Ness Ave APT 132, San Francisco, CA 94102","CORCORAN GLOBAL LIVING, Peter Goss","$599,000",1 bd,1 ba,694 sqft,- Condo for sale
780,"218 Union St APT 5, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, Debi Green","$1,400,000",1 bd,1 ba,-- sqft,- Condo for sale
781,"2658 22nd St, San Francisco, CA 94110","SOTHEBY'S INTERNATIONAL REALTY, Patricia A. Lawton","$2,480,000",3 bds,2 ba,"1,902 sqft",- House for sale
782,"301 Mission St APT 11E, San Francisco, CA 94105","COLDWELL BANKER REALTY, Mark A. Venegas","$1,088,000",1 bd,2 ba,"1,027 sqft",- Condo for sale
783,"3365 20th St APT 2, San Francisco, CA 94110","COMPASS SF, Robert J. Vernon","$1,995,000",4 bds,3 ba,"2,187 sqft",- Condo for sale
784,"181 Fremont St UNIT 54E, San Francisco, CA 94105","SOTHEBY'S INTERNATIONAL REALTY, Gregg Lynn","$1,700,000",1 bd,1 ba,780 sqft,- New construction
785,"1785-1787 Alabama St, San Francisco, CA 94110",NaN,"$1,995,000",-- bds,-- ba,"3,044 sqft",- Multi-family home for sale
786,"2040 Franklin St APT 708, San Francisco, CA 94109",NaN,"$849,995",1 bd,2 ba,"1,040 sqft",- Condo for sale
787,"210 Dorland St, San Francisco, CA 94114","COMPASS, Todd Wiley","$2,500,000",3 bds,1 ba,-- sqft,- Condo for sale
788,"217 Gaven St, San Francisco, CA 94134",NaN,"$1,388,888",4 bds,3 ba,"2,200 sqft",- House for sale
789,"301 Rhode Island St #B6, San Francisco, CA 94103","COMPASS, Natalie Rome","$1,033,000",1 bd,2 ba,"1,291 sqft",- Condo for sale
790,"190 Albion St #192, San Francisco, CA 94110","ACKERMAN REALTY GROUP, Nick Flageollet","$2,500,000",5 bds,2 ba,"3,180 sqft",- Multi-family home for sale
791,"3733 San Bruno Ave, San Francisco, CA 94134",NaN,"$1,888,000",6 bds,5 ba,"5,084 sqft",- House for sale
792,"1160 Mission St UNIT 1106, San Francisco, CA 94103","CORCORAN GLOBAL LIVING, Cooper Gaines","$1,350,000",2 bds,2 ba,"1,146 sqft",- Condo for sale
793,"2829 25th St #3, San Francisco, CA 94110","COMPASS, Jason H. Hoffman","$1,649,000",3 bds,3 ba,"1,464 sqft",- Condo for sale
794,"1388 Gough St APT 1005, San Francisco, CA 94109","COMPASS, Morton Mah","$1,495,000",2 bds,2 ba,"1,285 sqft",- Condo for sale
795,"555 Golden Gate Ave #5F, San Francisco, CA 94102","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$1,059,000",2 bds,2 ba,977 sqft,- New construction
796,"601 Van Ness Ave APT 812, San Francisco, CA 94102","CORCORAN GLOBAL LIVING, Daniel P. Langford","$679,000",1 bd,1 ba,708 sqft,- Condo for sale
797,"170 King St UNIT 601, San Francisco, CA 94107","REAL ESTATE ADVISOR GROUP, Tim M. Heffernan","$1,250,000",2 bds,2 ba,-- sqft,- Condo for sale
798,"1439 S Van Ness Ave #1441, San Francisco, CA 94110","COMPASS, Nicholas J. Thornton","$1,725,000",5 bds,3 ba,"2,650 sqft",- Multi-family home for sale
799,"401 Harrison St APT 40B, San Francisco, CA 94105","COMPASS SF, Jason Gorski","$2,450,000",2 bds,2 ba,"1,419 sqft",- Condo for sale
