,address,listingby,price,beds,baths,sqft,building_type
199,"123 San Jose Ave #B, San Francisco, CA 94110","VANGUARD PROPERTIES, Shelley D. Trew","$559,000",1 bd,1 ba,-- sqft,- Condo for sale
200,"94 Junior Ter, San Francisco, CA 94112",NaN,"$1,495,000",4 bds,3 ba,"1,800 sqft",- House for sale
201,"1650 Jackson St APT 807, San Francisco, CA 94109","ACKERMAN REALTY GROUP, Craig Ackerman","$799,000",1 bd,1 ba,845 sqft,- Condo for sale
202,"1552 22nd St, San Francisco, CA 94107","ENGEL & VOELKERS SAN FRANCISCO, Michelle K. Pender","$2,395,000",3 bds,3 ba,"2,108 sqft",- Condo for sale
203,"2640 Jackson St, San Francisco, CA 94115","COLDWELL BANKER REALTY, Joel Goodrich","$13,500,000",9 bds,8 ba,"7,772 sqft",- House for sale
204,"388 Fulton St UNIT 301, San Francisco, CA 94102","HOME QUEST REALTY, Robert  Belli","$416,018",2 bds,1 ba,708 sqft,- Condo for sale
205,"139 S Lake Merced Hls APT 1B, San Francisco, CA 94132","COLDWELL BANKER REALTY, Naomi Lempert Lopez","$849,000",3 bds,2 ba,"1,474 sqft",- Condo for sale
206,"55 Page St APT 218, San Francisco, CA 94102","VANGUARD PROPERTIES, Christopher P. Jurach","$329,000",1 bd,1 ba,448 sqft,- Condo for sale
207,"181 Fremont St UNIT 63D, San Francisco, CA 94105","Jay Paul Company, COMPASS, Carmen Legarda","$3,840,000",2 bds,2 ba,"1,611 sqft",- New construction
208,"695 Hamilton St, San Francisco, CA 94134",NaN,"$999,989",4 bds,2 ba,"1,412 sqft",- House for sale
209,"223 Sanchez St, San Francisco, CA 94114","COLDWELL BANKER REALTY, Dan McLean","$1,249,000",2 bds,2 ba,"1,165 sqft",- Condo for sale
210,"1000 N Point St APT 207, San Francisco, CA 94109",NaN,"$629,000",1 bd,1 ba,592 sqft,- Condo for sale
211,"4132 3rd St #5, San Francisco, CA 94124","COLDWELL BANKER REALTY, Janice Lee","$949,500",2 bds,2 ba,"1,314 sqft",- Townhouse for sale
212,"12 Auburn St, San Francisco, CA 94133","COMPASS, Faye Dibachi","$1,099,000",2 bds,1 ba,-- sqft,- House for sale
213,"3259 Clay St #3261, San Francisco, CA 94115","COMPASS SF, Carolyn Adducci","$8,995,000",6 bds,7 ba,"6,000 sqft",- House for sale
214,"744 Union St APT 2, San Francisco, CA 94133","COMPASS SF, Deborah Lopez","$799,000",2 bds,1 ba,720 sqft,- Condo for sale
215,"588 Minna St #304, San Francisco, CA 94103","COMPASS, Douglas R. Shaw","$1,099,000",2 bds,2 ba,981 sqft,- New construction
216,"2760 19th Ave UNIT 33, San Francisco, CA 94132","COMPASS SF, Thomas Cooke","$895,000",2 bds,2 ba,"1,200 sqft",- Condo for sale
217,"1701 Jackson St APT 302, San Francisco, CA 94109","COMPASS SF, Marie M. Randall","$825,000",1 bd,1 ba,743 sqft,- Condo for sale
218,"5104 Diamond Heights Blvd #B, San Francisco, CA 94131",NaN,"$1,629,000",4 bds,3 ba,"1,943 sqft",- Condo for sale
219,"2002 California St, San Francisco, CA 94109","COMPASS SF, Helena Zaludova","$4,275,000",4 bds,4 ba,"2,750 sqft",- House for sale
220,"109 Porter St, San Francisco, CA 94110","FAR EAST REALTY, George K. Lai","$1,338,800",3 bds,4 ba,"1,720 sqft",- House for sale
221,"1465 Laguna St APT 5, San Francisco, CA 94115","COLDWELL BANKER REALTY, Jana B. Farrell","$620,000",2 bds,1 ba,850 sqft,- Condo for sale
222,"2148 Union St #1, San Francisco, CA 94123","VANGUARD PROPERTIES, Frank A. Nolan","$1,599,000",2 bds,2 ba,-- sqft,- Condo for sale
